,Strategy,Market,XLK,XLV,XLF,XLE,XLI,XLY,XLP,XLU,XLB,XLC,XLRE
Strategy,1.0,0.7252981413631654,0.710540379237412,0.3686478696387411,0.6239792935819074,0.347313438736923,0.7233768276389746,0.5707592720802506,0.18217360125149062,0.36132853955301886,0.5316227561356406,0.5473877790777496,0.35232073034161565
Market,0.7252981413631654,1.0,0.9217706584384847,0.544506916779282,0.7775577147508921,0.5307457752693308,0.8654559286656458,0.8760924235079377,0.3488974097162198,0.39084604523932454,0.7546517846857834,0.8423533894079578,0.5363046423269108
XLK,0.710540379237412,0.9217706584384847,1.0,0.3408048052840873,0.5619215887156511,0.38203722722623107,0.7283779511918553,0.7634097541539007,0.11610044163437078,0.22299455310597596,0.5804187617887496,0.7292543773199208,0.33524544301134573
XLV,0.3686478696387411,0.544506916779282,0.3408048052840873,1.0,0.5625529717509112,0.32192558886491285,0.5579273385643517,0.4384609892120272,0.5710129655240632,0.40754579755791076,0.6071446684786113,0.426921603495817,0.5939775187479475
XLF,0.6239792935819074,0.7775577147508921,0.5619215887156511,0.5625529717509112,1.0,0.566424074836364,0.8217746530747294,0.6948518821266129,0.4730894125353335,0.4651362447673836,0.7293749112305496,0.6685075284626728,0.5780603668085719
XLE,0.347313438736923,0.5307457752693308,0.38203722722623107,0.32192558886491285,0.566424074836364,1.0,0.5820511764611596,0.43338499659308155,0.23816383854636672,0.34968727693450136,0.5690916820650115,0.41195255187481583,0.37507886605527674
XLI,0.7233768276389746,0.8654559286656458,0.7283779511918553,0.5579273385643517,0.8217746530747294,0.5820511764611596,1.0,0.7724164209642247,0.3837284173429914,0.4483469875730503,0.8167497677566473,0.6932609668134049,0.592600487073347
XLY,0.5707592720802506,0.8760924235079377,0.7634097541539007,0.4384609892120272,0.6948518821266129,0.43338499659308155,0.7724164209642247,1.0,0.3317872799016089,0.29834378777841736,0.6854166637321867,0.7572634875921185,0.507892837166167
XLP,0.18217360125149062,0.3488974097162198,0.11610044163437078,0.5710129655240632,0.4730894125353335,0.23816383854636672,0.3837284173429914,0.3317872799016089,1.0,0.5092501915268544,0.5020759049548813,0.331064962834728,0.602922899255725
XLU,0.36132853955301886,0.39084604523932454,0.22299455310597596,0.40754579755791076,0.4651362447673836,0.34968727693450136,0.4483469875730503,0.29834378777841736,0.5092501915268544,1.0,0.4661413838599532,0.30098851956755784,0.6319282698527419
XLB,0.5316227561356406,0.7546517846857834,0.5804187617887496,0.6071446684786113,0.7293749112305496,0.5690916820650115,0.8167497677566473,0.6854166637321867,0.5020759049548813,0.4661413838599532,1.0,0.6139263695207654,0.6639765134527978
XLC,0.5473877790777496,0.8423533894079578,0.7292543773199208,0.426921603495817,0.6685075284626728,0.41195255187481583,0.6932609668134049,0.7572634875921185,0.331064962834728,0.30098851956755784,0.6139263695207654,1.0,0.43851265211502183
XLRE,0.35232073034161565,0.5363046423269108,0.33524544301134573,0.5939775187479475,0.5780603668085719,0.37507886605527674,0.592600487073347,0.507892837166167,0.602922899255725,0.6319282698527419,0.6639765134527978,0.43851265211502183,1.0
